Wavelength,Clear,Red,Blue,Green
500.754,0.752806,0.010951,0.377483,0.336411
503.306,0.760793,0.012775,0.366311,0.357276
503.903,0.762739,0.013211,0.363101,0.361708
505.917,0.769128,0.014823,0.349666,0.378084
507.768,0.77431,0.016933,0.333119,0.400815
508.822,0.776663,0.018384,0.315807,0.4166
509.008,0.777009,0.018652,0.312821,0.419255
509.329,0.777546,0.01912,0.308495,0.423664
510.388,0.778578,0.020728,0.295427,0.437066
510.872,0.778501,0.021494,0.287995,0.442931
511.112,0.778293,0.021882,0.272227,0.445835
513.119,0.769856,0.025316,0.250844,0.473146
513.382,0.767354,0.025796,0.248318,0.494065
513.477,0.766335,0.02597,0.247399,0.495091
514.351,0.755275,0.027618,0.23849,0.501551
515.343,0.757953,0.029595,0.226164,0.507545
516.15,0.763226,0.031295,0.214535,0.512794
516.28,0.763995,0.031575,0.213487,0.519194
516.337,0.764329,0.0317,0.213048,0.519532
517.941,0.77212,0.035417,0.202747,0.526537
518.606,0.774677,0.037099,0.19879,0.529525
519.296,0.777094,0.038944,0.194696,0.533083
519.956,0.779273,0.04081,0.190716,0.537605
520.684,0.781573,0.042968,0.186246,0.549316
520.82,0.781994,0.043383,0.18541,0.56602
523.849,0.791202,0.053432,0.168991,0.601141
524.327,0.792696,0.055123,0.167134,0.605766
526.39,0.799803,0.062375,0.16157,0.62097
526.87,0.801763,0.063903,0.160591,0.62346
527.508,0.804814,0.065718,0.159302,0.626491
528.455,0.811983,0.067929,0.156978,0.63069
529.506,0.819183,0.070348,0.151835,0.635187
529.904,0.81694,0.071423,0.148896,0.636887
530.452,0.813721,0.07304,0.145109,0.639256
531.267,0.808945,0.075619,0.140986,0.642966
532.778,0.800672,0.080649,0.136275,0.654203
532.781,0.800654,0.080661,0.136268,0.659667
533.327,0.797983,0.082513,0.135424,0.66218
534.538,0.793136,0.08658,0.135197,0.664191
534.675,0.792729,0.087025,0.135252,0.664235
535.455,0.791416,0.08917,0.135583,0.663837
536.915,0.81147,0.089159,0.135673,0.658566
537.067,0.825116,0.089016,0.135626,0.65709
537.211,0.830973,0.088874,0.135573,0.655202
537.782,0.839364,0.088283,0.135277,0.642797
538.684,0.845008,0.08733,0.134607,0.638456
539.07,0.846921,0.086929,0.134263,0.638511
539.158,0.847346,0.086839,0.134181,0.638579
541.04,0.855249,0.084983,0.13211,0.643259
541.797,0.857538,0.084285,0.131137,0.651375
543.055,0.860048,0.083192,0.129354,0.659335
543.972,0.860815,0.082455,0.12791,0.660499
544.647,0.860788,0.081947,0.12675,0.660763
546.438,0.858597,0.080772,0.123097,0.659953
547.6,0.856108,0.080168,0.119628,0.658276
549.098,0.852296,0.079636,0.110571,0.655014
549.691,0.850726,0.079523,0.108034,0.653545
550.707,0.848151,0.0795,0.103983,0.650888
551.798,0.845904,0.079796,0.099916,0.646643
552.191,0.845362,0.080004,0.098511,0.644017
553.056,0.844939,0.080694,0.095532,0.624657
553.419,0.845158,0.081094,0.094326,0.604517
555.781,0.855314,0.08593,0.087189,0.588704
555.914,0.856356,0.086351,0.086828,0.587808
556.661,0.862501,0.089096,0.084893,0.57922
557.225,0.866937,0.091639,0.083546,0.576004
558.236,0.873605,0.097283,0.081406,0.570519
559.157,0.878235,0.10359,0.079754,0.563915
560.147,0.881984,0.111498,0.07828,0.545336
560.174,0.88207,0.111723,0.078245,0.54504
563.142,0.889153,0.140527,0.075579,0.525659
563.275,0.889408,0.141922,0.075516,0.524821
564.737,0.892093,0.157331,0.075101,0.51476
566.757,0.89596,0.17907,0.075486,0.497863
567.243,0.897038,0.184365,0.076345,0.493196
568.069,0.899188,0.193431,0.078592,0.484954
568.14,0.899401,0.194216,0.078669,0.484242
569.25,0.903671,0.206643,0.07962,0.473715
569.871,0.907064,0.213906,0.080049,0.468819
571.332,0.91476,0.233087,0.08096,0.460328
572.111,0.913904,0.246503,0.08142,0.454652
572.615,0.912571,0.259342,0.081712,0.449143
574.155,0.909311,0.307385,0.0826,0.419776
574.51,0.909302,0.315404,0.082806,0.411134
